Handle;Title;Body (HTML);Vendor;Product Category;Published;Variant SKU;Variant Price;Cost per item;Variant Inventory Tracker;Variant Inventory Qty;Image Src;Image Position;Variant Requires Shipping;Variant Barcode;Status
1001-400;Odense Corner Sofa Set Grey;"<div><p>Stylish, smart and durable - a perfect sofa group for the patio this summer! Odense is a classic and simple corner group in delicious lounge design with a white aluminum frame and gray surface in polywood. On each side of the sofa there are small side tables, perfect for extra relief surface. The sofa group is suitable for outdoor use and fits just as well in the garden as in the corner of the balcony. Gray cushions are included that make the group as stylish and comfortable!
  
  Care advice:
  Outdoor furniture in aluminum and stainless steel should be cleaned regularly with water and mild soap. Always rinse thoroughly with plenty of water, which becomes extra important if the furniture is placed at a sea -close distance where salt can be transported through the air.</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour Sofa: Grey<br/>Main Colour: White<br/></p><p><strong>Material</strong><br/>Material Total Table: Aintwood,Aluminum<br/>Material total Sofa: Aluminum<br/>Main Material Sofa: Aluminum<br/>Main Material Table: Aluminum<br/>Material Legs Sofa  : Aluminum<br/>Material Legs Table : Aluminum<br/></p><p><strong>Dimensions</strong><br/>Sofa Width: 239|239<br/>Sofa Depth: 66.5<br/>Sofa Height: 67<br/>Seat Height Sofa: 30<br/>Table Length: 90<br/>Table Width: 70<br/>Table Height: 35<br/></p><p><strong>Other</strong><br/>Weight Capacity Sofa: 250<br/>Weight Capacity Table: 50<br/>Removable Cushion Cover: Yes<br/>Cushion Included?: Yes<br/></p>";VENTURE DESIGN;Corner Sofa Set;TRUE;1001-400;0;4019.00;shopify;15;https://api.venturedesign.se//assets/products/1200x/1001-400_1_m.jpg;1;TRUE;"	7350118410905";draft
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_0_0.jpg;2;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_1_0.jpg;3;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_1_3.jpg;4;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_1_4.jpg;5;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_1_1.jpg;6;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_0_1.jpg;7;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_0_2.jpg;8;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_1_2.jpg;9;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_0_4.jpg;10;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_0_5.jpg;11;;;
1001-400;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-400_H_0_3.jpg;12;;;
1001-408;Odense Corner Sofa Set Dark Grey Dark Grey;"<div><p>Stylish, smart and durable - a perfect sofa group for the patio this summer! Odense is a classic and simple corner group in delicious lounge design with a black frame in aluminum and gray top disc in polywood. On each side of the sofa there are small side tables, perfect for extra relief surface. The sofa group is suitable for outdoor use and fits just as well in the garden as in the corner of the balcony. Gray cushions are included that make the group as stylish and comfortable!
  
  Care advice:
  Outdoor furniture in aluminum and stainless steel should be cleaned regularly with water and mild soap. Always rinse thoroughly with plenty of water, which becomes extra important if the furniture is placed at a sea -close distance where salt can be transported through the air.</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour Table: Dark Grey<br/>Main Colour Sofa: Dark Grey<br/>Colour Cushion: Grey<br/>Main Colour: Dark Grey<br/></p><p><strong>Material</strong><br/>Material Total Table: Aintwood,Aluminum<br/>Material total Sofa: Aluminum<br/>Main Material Sofa: Aluminum<br/>Main Material Table: Aluminum<br/>Material Legs Sofa  : Aluminum<br/>Material Legs Table : Aluminum<br/></p><p><strong>Dimensions</strong><br/>Sofa Width: 239|239<br/>Sofa Depth: 66.5<br/>Sofa Height: 67<br/>Seat Height Sofa: 35<br/>Table Length: 90<br/>Table Width: 90<br/>Table Height: 35<br/></p><p><strong>Other</strong><br/>Weight Capacity Sofa: 620<br/>Removable Cushion Cover: Yes<br/>Cushion Included?: Yes<br/></p>";VENTURE DESIGN;Corner Sofa Set;TRUE;1001-408;0;4129.00;shopify;9;https://api.venturedesign.se//assets/products/1200x/1001-408_H_0_0.jpg;1;TRUE;"	7350118410899";draft
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_1_0.jpg;2;;;
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_1_1.jpg;3;;;
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_1_2.jpg;4;;;
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_1_5.jpg;5;;;
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_1_4.jpg;6;;;
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_1_3.jpg;7;;;
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_0_2.jpg;8;;;
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_0_1.jpg;9;;;
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_0_3.jpg;10;;;
1001-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1001-408_H_0_4.jpg;11;;;
1002-408;Dakar Sofa Set Black Black;<div><p>Dakar sofa group is a nice and stylish group in black steel with associated tables with top boards in spray glass. Durable cushions in gray are included and the group holds a total of 5 sitting guests. Tables Dimensions: 90/50x60/50x50/43 cm. Sofa Dimensions: 188x80x67 cm. SITTING: 180x64x34 cm. No assembly required.</p><p><strong>Specifikationer</strong></p><p><strong>Color</strong><br/>Main Colour Table: Black<br/>Main Colour Sofa: Black<br/>Main Colour Chair: Black<br/></p><p><strong>Material</strong><br/>Material Table Top: Glass<br/>Main Material Chair: Steel<br/>Main Material Sofa: Steel<br/>Material Legs Table : Steel<br/></p><p><strong>Dimensions</strong><br/>Sofa Width: 188<br/>Sofa Depth: 80<br/>Sofa Height: 67<br/>Table Width: 60<br/>Table Length: 90<br/>Table Height: 50<br/>Armrest Height Chair: 33<br/>Armrest Height Sofa: 33<br/>Armrest Width Chair: 4<br/>Chair Height: 67<br/>Chair Depth: 80<br/>Chair Width: 78<br/>Table Top Thickness Table 1: 3<br/>Armrest Width Sofa: 4<br/></p><p><strong>Other</strong><br/>Cushion Included?: Yes<br/></p>;VENTURE DESIGN;Sofa Set;TRUE;1002-408;0;3429.00;shopify;83;https://api.venturedesign.se//assets/products/1200x/1002-408_H_0_0.jpg;1;TRUE;"	7350118410868";draft
1002-408;;;;;;;;;;;https://api.venturedesign.se/assets/products/1200x/1002-408_H_1_0.jpg;2;;;
